Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
32.0,13896,hervanta,2009,Kerrostalo
49.0,269000,pyynikki,2019,Kerrostalo
70.5,224000,haapalinna,1989,Kerrostalo
83.5,398000,härmälänranta,2015,Kerrostalo
34.0,139000,niemenranta,2018,Luhtitalo
73.0,96000,tesoma,1969,Kerrostalo
22.0,116800,vuores,2021,Kerrostalo
26.0,119000,pyynikki,1936,Kerrostalo
50.0,173000,kaleva,1965,Kerrostalo
73.0,195000,ristimäki,2008,Kerrostalo
58.4,228000,kaleva,1951,Kerrostalo
95.0,298000,annala,2012,Paritalo
80.0,129000,hervanta,1982,Kerrostalo
79.0,179000,lamminpää,1985,Rivitalo
24.0,99000,tammela,1937,Kerrostalo
56.5,219000,mäyränmäki,2017,Paritalo
59.5,208000,amuri,1939,Kerrostalo
48.5,235000,keskusta,1967,Kerrostalo
55.0,186000,kaleva,1964,Kerrostalo
69.5,229000,vuores,2016,Kerrostalo
72.0,174000,kämmenniemi,2012,Rivitalo
150.7,314000,tahmela,1910,Omakotitalo
57.5,194000,vuores,2017,Luhtitalo
51.5,385000,keskusta,2018,Kerrostalo
108.0,945000,keskusta,2018,Kerrostalo
51.0,269000,keskusta,2012,Kerrostalo
55.0,189000,pyynikki,1952,Kerrostalo
59.5,170000,korkinmäki,1989,Kerrostalo
58.0,245900,vuores,2022,Kerrostalo
97.5,389900,vuores,2022,Kerrostalo
36.0,124000,epilä,1994,Luhtitalo
167.0,339000,leinola,1991,Omakotitalo
28.5,115000,kaleva,1964,Kerrostalo
56.0,150000,atala,2005,Kerrostalo
105.0,387000,pyynikinrinne,1922,Kerrostalo
144.0,597000,keskusta,1928,Kerrostalo
23.5,109000,haukiluoma,2018,Kerrostalo
23.0,132000,härmälänranta,2018,Kerrostalo
76.0,124000,tesoma,1965,Kerrostalo
70.0,262000,hakametsä,2011,Kerrostalo
60.0,127000,rahola,1964,Kerrostalo
62.5,229000,kaleva,1956,Kerrostalo
63.0,118000,kaukajärvi,1989,Kerrostalo
60.0,189800,kaleva,1957,Kerrostalo
58.5,109000,tesoma,1971,Kerrostalo
65.0,225000,kaleva,1962,Kerrostalo
39.0,124000,kalkku,2008,Luhtitalo
84.0,224000,petsamo,1938,Puutalo-osake
56.0,212300,hervanta,2022,Kerrostalo
30.0,135000,tammela,1970,Kerrostalo
85.0,485000,keskusta,1957,Kerrostalo
39.0,166000,hervanta,2013,Kerrostalo
12.5,21000,niemenranta,2021,Kerrostalo
57.0,209000,kaleva,1965,Kerrostalo
86.0,445000,keskusta,1907,Kerrostalo
73.0,145000,hervanta,1976,Rivitalo
43.0,197000,kaleva,1963,Kerrostalo
79.0,127000,tesoma,1964,Kerrostalo
25.5,178000,keskusta,2020,Kerrostalo
46.0,169000,kaleva,1965,Kerrostalo
69.0,249000,hatanpää,2001,Kerrostalo
88.5,347000,tammela,1982,Kerrostalo
67.0,169000,linnainmaa,2001,Kerrostalo
60.5,89000,hervanta,1974,Kerrostalo
50.0,75000,kalkku,1947,Kerrostalo
59.0,239000,amuri,1969,Kerrostalo
45.5,169000,kaleva,1956,Kerrostalo
37.0,139000,vuores,2015,Kerrostalo
91.0,207000,annala,1995,Kerrostalo
113.5,659000,tammela,2022,Kerrostalo
28.0,193000,tammela,2022,Kerrostalo
82.0,419000,tammela,2022,Kerrostalo
111.5,641000,tammela,2022,Kerrostalo
66.5,359000,tammela,2022,Kerrostalo
28.0,187000,tammela,2022,Kerrostalo
29.0,195000,tammela,2022,Kerrostalo
29.0,189000,tammela,2022,Kerrostalo
82.0,399000,tammela,2022,Kerrostalo
79.0,385000,tammela,2022,Kerrostalo
82.0,375000,tammela,2022,Kerrostalo
28.0,182000,tammela,2022,Kerrostalo
108.5,799000,tammela,2022,Kerrostalo
128.0,859000,tammela,2022,Kerrostalo
51.5,265000,tammela,2022,Kerrostalo
76.5,529000,tammela,2022,Kerrostalo
