Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
75.3,240000,tammela,1971,Kerrostalo
144.5,424000,kaarila,1991,Rivitalo
75.0,228000,hallila,1992,Rivitalo
90.0,289000,lintuhytti,2017,Rivitalo
21.5,119000,niemi,2019,Kerrostalo
62.5,224000,kaleva,1956,Kerrostalo
32.0,169000,härmälä,2017,Kerrostalo
86.0,164000,peltolammi,1978,Rivitalo
85.0,223000,kalkku,2008,Rivitalo
97.5,179000,olkahinen,1990,Rivitalo
28.0,188500,pyynikki,2020,Kerrostalo
72.5,397000,pyynikki,2020,Kerrostalo
62.5,289000,keskusta,1963,Kerrostalo
39.5,129000,rahola,2014,Kerrostalo
68.0,115000,rahola,1966,Kerrostalo
56.0,79000,hervanta,1978,Kerrostalo
121.0,449000,vuores,2019,Erillistalo
51.5,189000,armonkallio,1965,Kerrostalo
175.5,395000,atala,1985,Erillistalo
75.0,172000,haapalinna,1995,Kerrostalo
39.0,171000,hervanta,2013,Kerrostalo
42.0,229000,tammela,2016,Kerrostalo
65.5,345000,lapinniemi,1991,Kerrostalo
88.5,238000,viiala,1990,Paritalo
57.0,163000,pohtola,1989,Luhtitalo
126.0,395000,vuores,2020,Erillistalo
117.5,450000,tahmela,1963,Kerrostalo
71.0,298000,keskusta,1983,Kerrostalo
42.0,169000,tammela,1939,Kerrostalo
91.5,194000,pohtola,1972,Kerrostalo
35.5,99000,hervanta,1987,Kerrostalo
55.0,190000,armonkallio,1969,Kerrostalo
75.5,140000,hervanta,1980,Kerrostalo
121.0,529000,vuores,2019,Erillistalo
47.5,187000,kaleva,1951,Kerrostalo
29.5,130000,onkiniemi,1978,Kerrostalo
47.0,196000,härmälänranta,2012,Kerrostalo
81.0,389000,tammela,2015,Kerrostalo
57.0,149000,haapalinna,1995,Kerrostalo
47.5,195000,järvensivu,1987,Rivitalo
39.0,155000,härmälänranta,2016,Kerrostalo
46.0,158000,pispala,1930,Kerrostalo
56.5,163000,lentävänniemi,2005,Kerrostalo
49.5,127000,palokallio,1991,Kerrostalo
80.0,349000,keskusta,1937,Kerrostalo
79.0,499000,keskusta,1963,Kerrostalo
79.0,309000,tampella,1999,Kerrostalo
74.5,319000,tammela,1983,Kerrostalo
41.5,259000,keskusta,2019,Kerrostalo
58.5,318000,tampella,2002,Kerrostalo
75.5,269000,tammela,1983,Kerrostalo
28.0,119000,amuri,1952,Kerrostalo
61.0,110000,rautaharkko,1973,Kerrostalo
57.0,195000,vuores,2016,Kerrostalo
61.0,145000,haapalinna,1996,Kerrostalo
54.5,239000,keskusta,1983,Kerrostalo
43.5,139000,rahola,2014,Kerrostalo
70.0,254000,hakametsä,2011,Kerrostalo
66.7,234000,pispala,1989,Kerrostalo
45.5,228000,amuri,1963,Kerrostalo
23.0,135000,härmälä,2021,Kerrostalo
84.8,315000,epilä,2014,Rivitalo
47.0,189000,härmälänranta,2007,Kerrostalo
88.5,749000,keskusta,2019,Kerrostalo
26.0,99500,atala,2015,Kerrostalo
95.0,274000,rahola,2000,Paritalo
140.0,300000,nekala,1939,Omakotitalo
113.0,599000,keskusta,1957,Kerrostalo
79.5,255000,hakametsä,1984,Kerrostalo
24.5,164000,ratinanranta,2011,Kerrostalo
68.0,98000,peltolammi,1968,Kerrostalo
32.5,164900,hatanpää,2022,Kerrostalo
28.5,167500,hatanpää,2022,Kerrostalo
61.5,264000,kaleva,2018,Kerrostalo
75.0,219500,kaukajärvi,1998,Paritalo
43.0,99000,härmälä,1958,Kerrostalo
45.5,168500,hervanta,2018,Kerrostalo
36.5,197400,hatanpää,2022,Kerrostalo
32.5,164900,hatanpää,2022,Kerrostalo
28.0,164600,hatanpää,2022,Kerrostalo
65.5,96000,tesoma,1967,Kerrostalo
38.5,159000,lielahti,2018,Kerrostalo
23.0,135000,härmälä,2021,Kerrostalo
173.0,385000,kumpula,2003,Omakotitalo
72.5,319000,amuri,1963,Kerrostalo
80.5,90000,rahola,1945,Paritalo
71.5,98000,hervanta,1977,Kerrostalo
62.0,270000,armonkallio,1964,Kerrostalo
117.5,330000,palvaanniemi,1985,Rivitalo
59.0,135000,ruotula,1966,Kerrostalo
84.0,218000,petsamo,1938,Puutalo-osake
60.0,85000,hervanta,1981,Kerrostalo
34.5,234400,rantatampella,2021,Kerrostalo
75.5,154000,rautaharkko,1973,Kerrostalo
33.0,82000,tesoma,1974,Kerrostalo
95.0,299000,ikuri,2012,Paritalo
95.0,299000,ikuri,2012,Rivitalo
57.5,99000,annala,1973,Kerrostalo
51.5,89900,tesoma,1966,Kerrostalo
36.0,152800,tesoma,2018,Kerrostalo
52.0,155000,haapalinna,2006,Kerrostalo
87.5,250000,amuri,1964,Kerrostalo
56.0,212300,hervantajärvi,2022,Kerrostalo
95.5,239000,hervanta,1986,Omakotitalo
33.5,99000,atala,2017,Kerrostalo
62.0,137000,janka,1991,Kerrostalo
47.0,194000,tammela,1971,Kerrostalo
73.0,139000,lentävänniemi,1974,Kerrostalo
55.0,170000,armonkallio,1969,Kerrostalo
72.0,249000,juhannuskylä,1927,Kerrostalo
72.0,249000,juhannuskylä,1927,Kerrostalo
76.0,109000,tesoma,1981,Kerrostalo
81.0,176000,linnainmaa,1995,Kerrostalo
83.5,398000,härmälänranta,2015,Kerrostalo
80.0,159000,tasanne,1988,Rivitalo
45.0,219000,härmälänranta,2018,Kerrostalo
80.5,139000,annala,1983,Kerrostalo
90.0,449000,keskusta,1927,Kerrostalo
68.0,380000,pyynikki,2020,Kerrostalo
23.0,109500,vuores,2017,Kerrostalo
23.5,163180,kaleva,2022,Kerrostalo
30.0,120000,kaleva,1964,Kerrostalo
72.5,448000,pyynikki,2015,Kerrostalo
58.0,75000,hervanta,1974,Kerrostalo
24.0,118900,vuores,2017,Kerrostalo
73.0,139000,multisilta,1972,Kerrostalo
76.0,315000,tammela,1956,Kerrostalo
21.5,99900,vuores,2018,Kerrostalo
101.0,325000,takahuhti,1995,Paritalo
